course_name,course_url,lesson_count,price,description,instructor,rating,difficulty_level,text
introduction to python,https://courses.analyticsvidhya.com/courses/introduction-to-data-science,69 Lessons,Free,"do you want to enter the field of data science? are you intimidated by the coding you would need to learn? are you looking to learn python to switch to a data science career?you have come to just the right place!most industry experts recommend starting your data science journey with pythonacross biggest companies and startups, python is the most used language for data science and machine learning projectsstackoverflow survey for 2019 had python outrank java in the list of most loved languagespython is a very versatile language since it has a wide array of functionalities already available. the sheer range of functionalities might sound too exhaustive and complicated, you don’t need to be well-versed with them all.most data scientists have a few go-to libraries for their daily tasks like:for performing data cleaning and analysis - pandasfor basic statistical tools – numpy, scipyfor data visualization – matplotlib, seaborn",Unknown,4.8/5,Beginner,"introduction to python do you want to enter the field of data science? are you intimidated by the coding you would need to learn? are you looking to learn python to switch to a data science career?you have come to just the right place!most industry experts recommend starting your data science journey with pythonacross biggest companies and startups, python is the most used language for data science and machine learning projectsstackoverflow survey for 2019 had python outrank java in the list of most loved languagespython is a very versatile language since it has a wide array of functionalities already available. the sheer range of functionalities might sound too exhaustive and complicated, you don’t need to be well-versed with them all.most data scientists have a few go-to libraries for their daily tasks like:for performing data cleaning and analysis - pandasfor basic statistical tools – numpy, scipyfor data visualization – matplotlib, seaborn"
loan prediction practice problem (using python),https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python,16 Lessons,Free,"this course is designed for people who want to solve binary classification problems. classification is a skill every data scientist should be well versed in.in this course, we are solving a real life case study of dream housing finance. the company deals in all home loans. they have a presence across all urban, semi-urban and rural areas. customers first apply for a home loan after that company validates the customer's eligibility. the company wants to automate the loan eligibility process (real-time) based on customer detail provided while filling online application form.by the end of the course, you will have a solid understanding of classification problem and various approaches to solve the probem",Unknown,4.7/5,Intermediate,"loan prediction practice problem (using python) this course is designed for people who want to solve binary classification problems. classification is a skill every data scientist should be well versed in.in this course, we are solving a real life case study of dream housing finance. the company deals in all home loans. they have a presence across all urban, semi-urban and rural areas. customers first apply for a home loan after that company validates the customer's eligibility. the company wants to automate the loan eligibility process (real-time) based on customer detail provided while filling online application form.by the end of the course, you will have a solid understanding of classification problem and various approaches to solve the probem"
big mart sales prediction using r,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r,19 Lessons,Free,"sales prediction is a very common real life problem that each company faces at least once in its life time. if done correctly, it can have a significant impact on the success and performance of that company.in this course you will be working on the big mart sales prediction challenge.the course will equip you with the skills and techniques required to solve regression problems in r. you will be provided with sufficient theory and practice material to hone your predictive modeling skills.",Unknown,4.6/5,Intermediate,"big mart sales prediction using r sales prediction is a very common real life problem that each company faces at least once in its life time. if done correctly, it can have a significant impact on the success and performance of that company.in this course you will be working on the big mart sales prediction challenge.the course will equip you with the skills and techniques required to solve regression problems in r. you will be provided with sufficient theory and practice material to hone your predictive modeling skills."
twitter sentiment analysis,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis,18 Lessons,Free,"what is sentiment analysis?sentiment analysis or opinion mining is a technique used to analyse the emotion in a text. we can extract the attitude or the opinion of a piece of text and get insights on it.in the context of machine learning, you can think of sentiment analysis as a classification problem where the text can either have a positive sentiment, a negative sentiment or a neutral one.what are the applications of sentiment analysis in the industry?in the age of social media, it is extremely common to comment abouta movie you liked ora book you didn’t like ora product you bought was not up to the mark.therefore, a lot of companies use sentiment analysis for their products since it provides direct feedback of the customer’s opinion.it is also important to detect and remove hateful content from social media and companies like twitter, facebook, etc. extensively use sentiment analysis on a daily basis.on what kind of projects would i implement sentiment analysis?there are a wide variety of projects where you can use sentiment analysis. here are a couple of popular use cases:sentiment analysis can not only be used for customer reviews or product feedback, but in other domains as well.analyzing the sentiments on social media on the us elections, for example, gives useful insights on which candidates are favoured by the public and which are not.for other interesting problems involving sentiment/emotion detection, you can visit:https://datahack.analyticsvidhya.com/contest/all/what is the range of sentiments that can be observed and analysed?in the earlier days of natural language processing and sentiment analysis, the sentiments could hold only 2 or 3 values: positive or negative, and positive, neutral or negative.however, with the advent of deep learning, we can now recognize the subtle emotions in a text as well.this has made tasks like sarcasm detection, fake news detection etc. popular in research areas of natural language processingcan i add this project to my resume and use it in my interview?sentiment analysis is one of the most popular applications of machine learning and classification in natural language processingwe also encourage you to take up more diverse datasets and apply sentiment analysis on them.sentiment analysis is also one of the first projects you would learn in your natural language processing journey and as such is commonly asked in interviews.",Unknown,4.7/5,Intermediate,"twitter sentiment analysis what is sentiment analysis?sentiment analysis or opinion mining is a technique used to analyse the emotion in a text. we can extract the attitude or the opinion of a piece of text and get insights on it.in the context of machine learning, you can think of sentiment analysis as a classification problem where the text can either have a positive sentiment, a negative sentiment or a neutral one.what are the applications of sentiment analysis in the industry?in the age of social media, it is extremely common to comment abouta movie you liked ora book you didn’t like ora product you bought was not up to the mark.therefore, a lot of companies use sentiment analysis for their products since it provides direct feedback of the customer’s opinion.it is also important to detect and remove hateful content from social media and companies like twitter, facebook, etc. extensively use sentiment analysis on a daily basis.on what kind of projects would i implement sentiment analysis?there are a wide variety of projects where you can use sentiment analysis. here are a couple of popular use cases:sentiment analysis can not only be used for customer reviews or product feedback, but in other domains as well.analyzing the sentiments on social media on the us elections, for example, gives useful insights on which candidates are favoured by the public and which are not.for other interesting problems involving sentiment/emotion detection, you can visit:https://datahack.analyticsvidhya.com/contest/all/what is the range of sentiments that can be observed and analysed?in the earlier days of natural language processing and sentiment analysis, the sentiments could hold only 2 or 3 values: positive or negative, and positive, neutral or negative.however, with the advent of deep learning, we can now recognize the subtle emotions in a text as well.this has made tasks like sarcasm detection, fake news detection etc. popular in research areas of natural language processingcan i add this project to my resume and use it in my interview?sentiment analysis is one of the most popular applications of machine learning and classification in natural language processingwe also encourage you to take up more diverse datasets and apply sentiment analysis on them.sentiment analysis is also one of the first projects you would learn in your natural language processing journey and as such is commonly asked in interviews."
pandas for data analysis in python,https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python,27 Lessons,Free,"pandas is one of the most popular python libraries in data science. in fact, pandas is among those elite libraries that draw instant recognition from programmers of all backgrounds, from developers to data scientists.according to a recent survey by stackoverflow, pandas is the 4th most used library/framework in the world. that is quite an achievement!pandas is the first library we import when we fire up our jupyter notebooks (‘import pandas as pd’ is indelibly etched in our minds!). it is a super flexible tool that enables us to perform data analysis and data manipulation on pandas dataframes in double-quick time.",Unknown,0/5,Unknown,"pandas for data analysis in python pandas is one of the most popular python libraries in data science. in fact, pandas is among those elite libraries that draw instant recognition from programmers of all backgrounds, from developers to data scientists.according to a recent survey by stackoverflow, pandas is the 4th most used library/framework in the world. that is quite an achievement!pandas is the first library we import when we fire up our jupyter notebooks (‘import pandas as pd’ is indelibly etched in our minds!). it is a super flexible tool that enables us to perform data analysis and data manipulation on pandas dataframes in double-quick time."
support vector machine (svm) in python and r,https://courses.analyticsvidhya.com/courses/support-vector-machine-svm-in-python-and-r,13 Lessons,Free,"want to learn the popular machine learning algorithm - support vector machines (svm)? support vector machines can be used to build both regression and classification machine learning models.this free course will not only teach you basics of support vector machines (svm) and how it works, it will also tell you how to implement it in python and r.this course on svm would help you understand hyperplanes and kernel tricks to leave you with one of the most popular machine learning algorithms at your disposal.",Use Support Vector Machines algorithms to classify species of Iris flowers,0/5,Unknown,"support vector machine (svm) in python and r want to learn the popular machine learning algorithm - support vector machines (svm)? support vector machines can be used to build both regression and classification machine learning models.this free course will not only teach you basics of support vector machines (svm) and how it works, it will also tell you how to implement it in python and r.this course on svm would help you understand hyperplanes and kernel tricks to leave you with one of the most popular machine learning algorithms at your disposal."
evaluation metrics for machine learning models,https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models,25 Lessons,Free,"evaluation metrics form the backbone of improving your machine learning model. without these evaluation metrics, we would be lost in a sea of machine learning model scores - unable to understand which model is performing well.wondering where evaluation metrics fit in? here’s how the typical machine learning model building process works:we build a machine learning model (both regression and classification included)get feedback from the evaluation metric(s)make improvements to the modeluse the evaluation metric to gauge the model’s performance, andcontinue until you achieve a desirable accuracyevaluation metrics, essentially, explain the performance of a machine learning model. an important aspect of evaluation metrics is their capability to discriminate among model results.if you’ve ever wondered how concepts like auc-roc, f1 score, gini index, root mean square error (rmse), and confusion matrix work, well - you’ve come to the right course!",Unknown,0/5,Unknown,"evaluation metrics for machine learning models evaluation metrics form the backbone of improving your machine learning model. without these evaluation metrics, we would be lost in a sea of machine learning model scores - unable to understand which model is performing well.wondering where evaluation metrics fit in? here’s how the typical machine learning model building process works:we build a machine learning model (both regression and classification included)get feedback from the evaluation metric(s)make improvements to the modeluse the evaluation metric to gauge the model’s performance, andcontinue until you achieve a desirable accuracyevaluation metrics, essentially, explain the performance of a machine learning model. an important aspect of evaluation metrics is their capability to discriminate among model results.if you’ve ever wondered how concepts like auc-roc, f1 score, gini index, root mean square error (rmse), and confusion matrix work, well - you’ve come to the right course!"
fundamentals of regression analysis,https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis,24 Lessons,Free,"linear regression and logistic regression are typically the first algorithms we learn in data science. these are two key concepts not just in machine learning, but in statistics as well.due to their popularity, a lot of data science aspirants even end up thinking that they are the only forms of regression! or at least linear regression and logistic regression are the most important among all forms of regression analysis.the truth, as always, lies somewhere in between. there are multiple types of regression apart from linear regression:ridge regressionlasso regressionpolynomial regressionstepwise regression, among others.linear regression is just one part of the regression analysis umbrella. each regression form has its own importance and a specific condition where they are best suited to apply.regression analysis marks the first step in predictive modeling. the different types of regression techniques are widely popular because they’re easy to understand and implement using a programming language of your choice.",Unknown,0/5,Unknown,"fundamentals of regression analysis linear regression and logistic regression are typically the first algorithms we learn in data science. these are two key concepts not just in machine learning, but in statistics as well.due to their popularity, a lot of data science aspirants even end up thinking that they are the only forms of regression! or at least linear regression and logistic regression are the most important among all forms of regression analysis.the truth, as always, lies somewhere in between. there are multiple types of regression apart from linear regression:ridge regressionlasso regressionpolynomial regressionstepwise regression, among others.linear regression is just one part of the regression analysis umbrella. each regression form has its own importance and a specific condition where they are best suited to apply.regression analysis marks the first step in predictive modeling. the different types of regression techniques are widely popular because they’re easy to understand and implement using a programming language of your choice."
getting started with scikit-learn (sklearn) for machine learning,https://courses.analyticsvidhya.com/courses/get-started-with-scikit-learn-sklearn,27 Lessons,Free,"scikit-learn, or sklearn for short, is the first python library we turn to when building machine learning models. sklearn is unanimously the favorite python library among data scientists. as a newcomer to machine learning, you should be comfortable with sklearn and how to build ml models, including:linear regression using sklearnlogistic regression using sklearn, and so on.there’s no question - scikit-learn provides handy tools with easy-to-read syntax. among the pantheon of popular python libraries, scikit-learn (sklearn) ranks in the top echelon along with pandas and numpy.we love the clean, uniform code and functions that scikit-learn provides. the excellent documentation is the icing on the cake as it makes a lot of beginners self-sufficient with building machine learning models using sklearn.in short, sklearn is a must-know python library for machine learning. whether you want to build linear regression or logistic regression models, decision tree or a random forest, sklearn is your go-to library.",Unknown,0/5,Unknown,"getting started with scikit-learn (sklearn) for machine learning scikit-learn, or sklearn for short, is the first python library we turn to when building machine learning models. sklearn is unanimously the favorite python library among data scientists. as a newcomer to machine learning, you should be comfortable with sklearn and how to build ml models, including:linear regression using sklearnlogistic regression using sklearn, and so on.there’s no question - scikit-learn provides handy tools with easy-to-read syntax. among the pantheon of popular python libraries, scikit-learn (sklearn) ranks in the top echelon along with pandas and numpy.we love the clean, uniform code and functions that scikit-learn provides. the excellent documentation is the icing on the cake as it makes a lot of beginners self-sufficient with building machine learning models using sklearn.in short, sklearn is a must-know python library for machine learning. whether you want to build linear regression or logistic regression models, decision tree or a random forest, sklearn is your go-to library."
convolutional neural networks (cnn) from scratch,https://courses.analyticsvidhya.com/courses/convolutional-neural-networks-cnn-from-scratch,17 Lessons,Free,"convolutional neural networks, or cnn as they’re popularly called, are the go-to deep learning architecture for computer vision tasks, such as object detection, image segmentation, facial recognition, among others. cnns have even been extended to the field of video analysis!if you are picking one deep learning architecture to learn and are not sure where to start, you should go for convolutional neural networks. deep learning enthusiasts and experts with cnn knowledge are being widely sourced in the industry.it’s your time to use this cnn skillset and shine!",Unknown,4.7/5,Advanced,"convolutional neural networks (cnn) from scratch convolutional neural networks, or cnn as they’re popularly called, are the go-to deep learning architecture for computer vision tasks, such as object detection, image segmentation, facial recognition, among others. cnns have even been extended to the field of video analysis!if you are picking one deep learning architecture to learn and are not sure where to start, you should go for convolutional neural networks. deep learning enthusiasts and experts with cnn knowledge are being widely sourced in the industry.it’s your time to use this cnn skillset and shine!"
dimensionality reduction for machine learning,https://courses.analyticsvidhya.com/courses/dimensionality-reduction-for-machine-learning,23 Lessons,Free,"have you worked on a dataset with more than a thousand features? how about 40,000 features? we are generating data at an unprecedented pace right now and working with massive datasets in machine learning projects is becoming mainstream.this is where the power of dimensionality reduction techniques comes to the fore. dimensionality reduction is actually one of the most crucial aspects in machine learning projects.you can use dimensionality reduction techniques to reduce the number of features in your dataset without having to lose much information and keep (or improve) the model’s performance. it’s a really powerful way to deal with huge datasets, as you’ll see in this course!every data scientist, aspiring established, should be aware of the different dimensionality reduction techniques, such as principal component analysis (pca), factor analysis, t-sne, high correlation filter, missing value ratio, among others.so in this beginner-friendly course, you will learn the basics of dimensionality reduction and why you should know dimensionality reduction in machine learning. we will also cover 12 dimensionality reduction techniques! this course is as comprehensive an introduction as you can get!",Unknown,0/5,Unknown,"dimensionality reduction for machine learning have you worked on a dataset with more than a thousand features? how about 40,000 features? we are generating data at an unprecedented pace right now and working with massive datasets in machine learning projects is becoming mainstream.this is where the power of dimensionality reduction techniques comes to the fore. dimensionality reduction is actually one of the most crucial aspects in machine learning projects.you can use dimensionality reduction techniques to reduce the number of features in your dataset without having to lose much information and keep (or improve) the model’s performance. it’s a really powerful way to deal with huge datasets, as you’ll see in this course!every data scientist, aspiring established, should be aware of the different dimensionality reduction techniques, such as principal component analysis (pca), factor analysis, t-sne, high correlation filter, missing value ratio, among others.so in this beginner-friendly course, you will learn the basics of dimensionality reduction and why you should know dimensionality reduction in machine learning. we will also cover 12 dimensionality reduction techniques! this course is as comprehensive an introduction as you can get!"
k-nearest neighbors (knn) algorithm in python and r,https://courses.analyticsvidhya.com/courses/K-Nearest-Neighbors-KNN-Algorithm,10 Lessons,Free,"k-nearest neighbor (knn) is one of the most popular machine learning algorithms. as a newcomer or beginner in machine learning, you’ll find knn to be among the easiest algorithms to pick up.and despite its simplicity, knn has proven to be incredibly effective at certain tasks in machine learning.the knn algorithm is simple to understand, easy to explain and perfect to demonstrate to a non-technical audience (that’s why stakeholders love it!). that’s a key reason why it’s widely used in the industry and why you should know how the algorithm works.",Unknown,0/5,Unknown,"k-nearest neighbors (knn) algorithm in python and r k-nearest neighbor (knn) is one of the most popular machine learning algorithms. as a newcomer or beginner in machine learning, you’ll find knn to be among the easiest algorithms to pick up.and despite its simplicity, knn has proven to be incredibly effective at certain tasks in machine learning.the knn algorithm is simple to understand, easy to explain and perfect to demonstrate to a non-technical audience (that’s why stakeholders love it!). that’s a key reason why it’s widely used in the industry and why you should know how the algorithm works."
ensemble learning and ensemble learning techniques,https://courses.analyticsvidhya.com/courses/ensemble-learning-and-ensemble-learning-techniques,37 Lessons,Free,"ensemble learning is a powerful machine learning algorithm that is used across industries by data science experts. the beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models.you must have used or come across several of these ensemble learning techniques in your machine learning journey:-bagging- boosting- stacking- blending, etc.these ensemble learning techniques include popular machine learning algorithms such as xgboost, gradient boosting, among others. you must be getting a good idea of how vast and useful ensemble learning can be!",Unknown,0/5,Unknown,"ensemble learning and ensemble learning techniques ensemble learning is a powerful machine learning algorithm that is used across industries by data science experts. the beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models.you must have used or come across several of these ensemble learning techniques in your machine learning journey:-bagging- boosting- stacking- blending, etc.these ensemble learning techniques include popular machine learning algorithms such as xgboost, gradient boosting, among others. you must be getting a good idea of how vast and useful ensemble learning can be!"
linear programming for data science professionals,https://courses.analyticsvidhya.com/courses/linear-programming,20 Lessons,Free,"optimization is the way of life. we all have finite resources and time and we want to make the most of them. from using your time productively to solving supply chain problems for your company – everything uses optimization.and that’s where learning linear programming will make you a better data science professional.we are solving optimization problems everyday - without realizing it. think of how you distributed the chocolate among your peers or siblings - that’s your way of optimizing the situation. on the other hand devising inventory and warehousing strategy for an e-tailer can be very complex. millions of skus with different popularity in different regions to be delivered in defined time and resources.and linear programming helps us solve these optimization problems with ease and efficiency. as a data science professional, you are bound to come across these optimization problems that you will solve using linear programming.simply put, you should know what linear programming is, and the different methods to solve linear programming problems.",Unknown,0/5,Unknown,"linear programming for data science professionals optimization is the way of life. we all have finite resources and time and we want to make the most of them. from using your time productively to solving supply chain problems for your company – everything uses optimization.and that’s where learning linear programming will make you a better data science professional.we are solving optimization problems everyday - without realizing it. think of how you distributed the chocolate among your peers or siblings - that’s your way of optimizing the situation. on the other hand devising inventory and warehousing strategy for an e-tailer can be very complex. millions of skus with different popularity in different regions to be delivered in defined time and resources.and linear programming helps us solve these optimization problems with ease and efficiency. as a data science professional, you are bound to come across these optimization problems that you will solve using linear programming.simply put, you should know what linear programming is, and the different methods to solve linear programming problems."
naive bayes from scratch,https://courses.analyticsvidhya.com/courses/naive-bayes,19 Lessons,Free,"naive bayes ranks in the top echelons of the machine learning algorithms pantheon. it is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems.the beauty of naive bayes lies in it’s incredible speed. you’ll soon see how fast the naive bayes algorithm works as compared to other classification algorithms. it works on the bayes theorem of probability to predict the class of unknown datasets. you’ll learn all about this inside the course!so whether you’re trying to solve a classic hr analytics problem like predicting who gets promoted, or you’re aiming to predict loan default - the naive bayes algorithm will get you on your way.",Unknown,4.6/5,Advanced,"naive bayes from scratch naive bayes ranks in the top echelons of the machine learning algorithms pantheon. it is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems.the beauty of naive bayes lies in it’s incredible speed. you’ll soon see how fast the naive bayes algorithm works as compared to other classification algorithms. it works on the bayes theorem of probability to predict the class of unknown datasets. you’ll learn all about this inside the course!so whether you’re trying to solve a classic hr analytics problem like predicting who gets promoted, or you’re aiming to predict loan default - the naive bayes algorithm will get you on your way."
learn swift for data science,https://courses.analyticsvidhya.com/courses/learn-swift-for-data-science,21 Lessons,Free,"he swift programming language is quickly becoming the language of choice for a lot of data science experts and professionals. swift’s flexibility, ease of use, excellent documentation, and quick execution speed are key reasons behind the language’s recent prominence in the data science space.swift is a more efficient, stable and secure programming language as compared to python. in fact, swift is also a good language to build for mobile. in fact, it’s the official language for developing ios applications for the iphone!the cherry on the cake for swift? it has the support of the likes of google, apple, and fastai behind it!“i always hope that when i start looking at a new language, there will be some mind-opening new ideas to find, and swift definitely doesn’t disappoint. swift tries to be expressive, flexible, concise, safe, easy to use, and fast. most languages compromise significantly in at least one of these areas.” – jeremy howardand when jeremy howard endorses a language and starts using it for his daily data science work, you need to drop everything and listen.in this free course on swift for data science, we will learn about swift as a programming language and how it fits into the data science space. if you’re a python user, you’ll notice the subtle differences and the incredible similarities between the two. we showcase swift code as well in the course so get started!",Unknown,0/5,Unknown,"learn swift for data science he swift programming language is quickly becoming the language of choice for a lot of data science experts and professionals. swift’s flexibility, ease of use, excellent documentation, and quick execution speed are key reasons behind the language’s recent prominence in the data science space.swift is a more efficient, stable and secure programming language as compared to python. in fact, swift is also a good language to build for mobile. in fact, it’s the official language for developing ios applications for the iphone!the cherry on the cake for swift? it has the support of the likes of google, apple, and fastai behind it!“i always hope that when i start looking at a new language, there will be some mind-opening new ideas to find, and swift definitely doesn’t disappoint. swift tries to be expressive, flexible, concise, safe, easy to use, and fast. most languages compromise significantly in at least one of these areas.” – jeremy howardand when jeremy howard endorses a language and starts using it for his daily data science work, you need to drop everything and listen.in this free course on swift for data science, we will learn about swift as a programming language and how it fits into the data science space. if you’re a python user, you’ll notice the subtle differences and the incredible similarities between the two. we showcase swift code as well in the course so get started!"
introduction to web scraping using python,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping,13 Lessons,Free,"the need and importance of extracting data from the web is becoming increasingly loud and clear. there is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.that’s a key reason why data scientists are expected to be familiar with web scraping.we have found web scraping to be a very helpful technique for gathering data from multiple websites. some websites these days also provide apis for many different types of data you might want to use, such as tweets or linkedin posts.but there might be occasions when you need to collect data from a website that does not provide a specific api. this is where having the ability to perform web scraping comes in handy. as a data scientist, you can code a simple python script and extract the data you’re looking for.so knowing how to perform web scraping using python will help you go a long way towards becoming a resourceful data scientist. are you ready to take the next step and dive in?a note of caution here – web scraping is subject to a lot of guidelines and rules. not every website allows the user to scrape content so there are certain legal restrictions at play. always ensure you read the website’s terms and conditions on web scraping before you attempt to do it.in this course, we will dive into the basics of web scraping using python. we will understand what web scraping is, the different python libraries for performing web scraping, and finally we’ll implement web scraping using python in a real-world project. there’s a lot to unpack here so enroll today and start learning!",Unknown,0/5,Unknown,"introduction to web scraping using python the need and importance of extracting data from the web is becoming increasingly loud and clear. there is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.that’s a key reason why data scientists are expected to be familiar with web scraping.we have found web scraping to be a very helpful technique for gathering data from multiple websites. some websites these days also provide apis for many different types of data you might want to use, such as tweets or linkedin posts.but there might be occasions when you need to collect data from a website that does not provide a specific api. this is where having the ability to perform web scraping comes in handy. as a data scientist, you can code a simple python script and extract the data you’re looking for.so knowing how to perform web scraping using python will help you go a long way towards becoming a resourceful data scientist. are you ready to take the next step and dive in?a note of caution here – web scraping is subject to a lot of guidelines and rules. not every website allows the user to scrape content so there are certain legal restrictions at play. always ensure you read the website’s terms and conditions on web scraping before you attempt to do it.in this course, we will dive into the basics of web scraping using python. we will understand what web scraping is, the different python libraries for performing web scraping, and finally we’ll implement web scraping using python in a real-world project. there’s a lot to unpack here so enroll today and start learning!"
tableau for beginners,https://courses.analyticsvidhya.com/courses/tableau-for-beginners,17 Lessons,Free,"tableau is the gold standard in business intelligence, analytics and data visualization tools. tableau desktop (and now tableau public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world.tableau has been recognized as a leader in the gartner magic quadrant for analytics and business intelligence platforms for 8 straight years. here’s gartner’s most recent ranking in 2020:in this tableau for beginners course, you will learn everything you need to get started with this wonderful visualization and business intelligence tool. you’ll be able to build charts like bar charts, line charts (for working with time series data), pie charts, and even get the hang of geospatial analysis using map visualizations in tableau!note: if you’re looking to build and master dashboards and storyboards in tableau, make sure you check out the popular ‘mastering tableau from scratch: become a data visualization rockstar’ course!",Unknown,4.6/5,Beginner,"tableau for beginners tableau is the gold standard in business intelligence, analytics and data visualization tools. tableau desktop (and now tableau public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world.tableau has been recognized as a leader in the gartner magic quadrant for analytics and business intelligence platforms for 8 straight years. here’s gartner’s most recent ranking in 2020:in this tableau for beginners course, you will learn everything you need to get started with this wonderful visualization and business intelligence tool. you’ll be able to build charts like bar charts, line charts (for working with time series data), pie charts, and even get the hang of geospatial analysis using map visualizations in tableau!note: if you’re looking to build and master dashboards and storyboards in tableau, make sure you check out the popular ‘mastering tableau from scratch: become a data visualization rockstar’ course!"
getting started with neural networks,https://courses.analyticsvidhya.com/courses/getting-started-with-neural-networks,45 Lessons,Free,"introduction to neural networkswhat is a neural network? how does it work? what does a neural network do? learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning.learn how neural networks work in deep learningdo you want to acquire a super power? how about learning neural networks? neural networks are at the heart of the deep learning revolution that’s happening around us right now.neural networks are the present and the future. the different neural network architectures like convolutional neural networks (cnn), recurrent neural networks (rnn), and others have altered the deep learning landscape.but as a beginner in this field, you’ll have a ton of questions:what is a neural network?why do we need to learn neural networks?how popular are neural networks?what are the advantages of neural networks?what kind of challenges you could face when applying neural networks?what exactly should you learn about neural networks?what are the core concepts that make up neural networks?what are the different types of neural networks in deep learning?do you need to know programming to build a neural network?which programming language is best for building neural networks? python or r?what are the different applications of neural networks?what kind of problems or projects can you solve using neural networks?from classifying images and translating languages to building a self-driving car, neural networks are powering the world around us. thanks to the idea of neural networks like cnn and rnn, deep learning has penetrated into multiple and diverse industries, and it continues to break new ground on an almost weekly basis!","Kunal Jain, Founder & CEO, Analytics Vidhya",4.7/5,Beginner,"getting started with neural networks introduction to neural networkswhat is a neural network? how does it work? what does a neural network do? learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning.learn how neural networks work in deep learningdo you want to acquire a super power? how about learning neural networks? neural networks are at the heart of the deep learning revolution that’s happening around us right now.neural networks are the present and the future. the different neural network architectures like convolutional neural networks (cnn), recurrent neural networks (rnn), and others have altered the deep learning landscape.but as a beginner in this field, you’ll have a ton of questions:what is a neural network?why do we need to learn neural networks?how popular are neural networks?what are the advantages of neural networks?what kind of challenges you could face when applying neural networks?what exactly should you learn about neural networks?what are the core concepts that make up neural networks?what are the different types of neural networks in deep learning?do you need to know programming to build a neural network?which programming language is best for building neural networks? python or r?what are the different applications of neural networks?what kind of problems or projects can you solve using neural networks?from classifying images and translating languages to building a self-driving car, neural networks are powering the world around us. thanks to the idea of neural networks like cnn and rnn, deep learning has penetrated into multiple and diverse industries, and it continues to break new ground on an almost weekly basis!"
introduction to ai & ml,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml,17 Lessons,Free,"analytics vidhya’s ‘introduction to ai and ml’ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions.artificial intelligence and machine learning have become the centerpiece of strategic decision making for organizations. they are disrupting the way industries and roles function - from sales and marketing to finance and hr, companies are betting big on ai and ml to give them a competitive edge.and this, of course, directly translates to their hiring. thousands of vacancies are open as organizations scour the world for ai and ml talent. there hasn’t been a better time to get into this field!","Kunal Jain, Founder & CEO, Analytics Vidhya",4.8/5,Beginner,"introduction to ai & ml analytics vidhya’s ‘introduction to ai and ml’ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions.artificial intelligence and machine learning have become the centerpiece of strategic decision making for organizations. they are disrupting the way industries and roles function - from sales and marketing to finance and hr, companies are betting big on ai and ml to give them a competitive edge.and this, of course, directly translates to their hiring. thousands of vacancies are open as organizations scour the world for ai and ml talent. there hasn’t been a better time to get into this field!"
winning data science hackathons - learn from elite data scientists,https://courses.analyticsvidhya.com/courses/winning-data-science-hackathons-learn-from-elite-data-scientists,7 Lessons,Free,"there is no substitute for experience. and that holds true in data science competitions as well. these cut-throat hackathons require a lot of trial-and-error, effort, and dedication to reach the ranks of the elite.this course is an amalgamation of various talks by top data scientists and machine learning hackers, experts, practitioners, and leaders who have participated and won dozens of hackathons. they have already gone through the entire learning process and they showcase their work and thought process in these talks.this course features top data science hackers and experts, including sudalai rajkumar (srk), dipanjan sarkar, rohan rao, kiran r and many more!from effective feature engineering to choosing the right validation strategy, there is a lot to learn from this course so get started today!",Unknown,0/5,Unknown,"winning data science hackathons - learn from elite data scientists there is no substitute for experience. and that holds true in data science competitions as well. these cut-throat hackathons require a lot of trial-and-error, effort, and dedication to reach the ranks of the elite.this course is an amalgamation of various talks by top data scientists and machine learning hackers, experts, practitioners, and leaders who have participated and won dozens of hackathons. they have already gone through the entire learning process and they showcase their work and thought process in these talks.this course features top data science hackers and experts, including sudalai rajkumar (srk), dipanjan sarkar, rohan rao, kiran r and many more!from effective feature engineering to choosing the right validation strategy, there is a lot to learn from this course so get started today!"
